iter	timestamp	latency_ms	ncu_us	status
1	2026-04-24T14:39:16+0900	0.011415	33.31	ok
2	2026-04-24T15:10:51+0900	0.011415	33.31	ok
3	2026-04-24T15:46:04+0900	0.011415	33.31	impl_session_fail
4	2026-04-24T16:03:17+0900	0.011108	30.85	ok
4	2026-04-24T16:17:58+0900	0.011108	30.85	impl_session_fail
5	2026-04-24T17:01:09+0900	0.011108	30.85	impl_session_fail
1	2026-04-24T17:47:33+0900	0.011108	30.85	ok
2	2026-04-24T17:51:13+0900	-	-	plan_session_fail
3	2026-04-24T17:51:33+0900	-	-	plan_session_fail
4	2026-04-24T17:51:52+0900	-	-	plan_session_fail
